est.Spatial,est.E_PC1,est.n1,Spatial,E_PC1,SD
6.75858,-4.613400859,9.181773682,,,
6.853482333,-4.613400859,9.223342131,,,
6.948384667,-4.613400859,9.26491058,,,
7.043287,-4.613400859,9.306479028,,,
-2.352044,-4.530669717,5.164804814,,,
-2.257141667,-4.530669717,5.206639638,,,
-2.162239333,-4.530669717,5.248474461,,,
-2.067337,-4.530669717,5.290309285,,,
-1.972434667,-4.530669717,5.332144108,,,
-1.877532333,-4.530669717,5.373978931,,,
-1.78263,-4.530669717,5.415813755,,,
-1.687727667,-4.530669717,5.457648578,,,
-1.592825333,-4.530669717,5.499483402,,,
-1.497923,-4.530669717,5.541318225,,,
-1.403020667,-4.530669717,5.583153049,,,
-1.308118333,-4.530669717,5.624987872,,,
-1.213216,-4.530669717,5.666822696,,,
-1.118313667,-4.530669717,5.708657519,,,
-1.023411333,-4.530669717,5.750492343,,,
-0.928509,-4.530669717,5.792327166,,,
-0.833606667,-4.530669717,5.83416199,,,
-0.738704333,-4.530669717,5.875996813,,,
-0.643802,-4.530669717,5.917831636,,,
-0.548899667,-4.530669717,5.95966646,,,
-0.453997333,-4.530669717,6.001501283,,,
-0.359095,-4.530669717,6.043336107,,,
-0.264192667,-4.530669717,6.08517093,,,
-0.169290333,-4.530669717,6.127005754,,,
-0.074388,-4.530669717,6.168840577,,,
0.020514333,-4.530669717,6.210675401,,,
0.115416667,-4.530669717,6.252510224,,,
0.210319,-4.530669717,6.294345048,,,
0.305221333,-4.530669717,6.336179871,,,
0.400123667,-4.530669717,6.378014695,,,
0.495026,-4.530669717,6.419849518,,,
0.589928333,-4.530669717,6.461684341,,,
0.684830667,-4.530669717,6.503519165,,,
0.779733,-4.530669717,6.545353988,,,
0.874635333,-4.530669717,6.587188812,,,
0.969537667,-4.530669717,6.629023635,,,
1.06444,-4.530669717,6.670858459,,,
1.159342333,-4.530669717,6.712693282,,,
1.254244667,-4.530669717,6.754528106,,,
1.349147,-4.530669717,6.796362929,,,
1.444049333,-4.530669717,6.838197753,,,
1.538951667,-4.530669717,6.880032576,,,
1.633854,-4.530669717,6.9218674,,,
1.728756333,-4.530669717,6.963702223,,,
1.823658667,-4.530669717,7.005537046,,,
1.918561,-4.530669717,7.04737187,,,
2.013463333,-4.530669717,7.089206693,,,
2.108365667,-4.530669717,7.131041517,,,
2.203268,-4.530669717,7.17287634,,,
2.298170333,-4.530669717,7.214711164,,,
2.393072667,-4.530669717,7.256545987,,,
2.487975,-4.530669717,7.298380811,,,
2.582877333,-4.530669717,7.340215634,,,
2.677779667,-4.530669717,7.382050458,,,
2.772682,-4.530669717,7.423885281,,,
2.867584333,-4.530669717,7.465720105,,,
2.962486667,-4.530669717,7.507554928,,,
3.057389,-4.530669717,7.549389751,,,
3.152291333,-4.530669717,7.591224575,,,
3.247193667,-4.530669717,7.633059398,,,
3.342096,-4.530669717,7.674894222,,,
3.436998333,-4.530669717,7.716729045,,,
3.531900667,-4.530669717,7.758563869,,,
3.626803,-4.530669717,7.800398692,,,
3.721705333,-4.530669717,7.842233516,,,
3.816607667,-4.530669717,7.884068339,,,
3.91151,-4.530669717,7.925903163,,,
4.006412333,-4.530669717,7.967737986,,,
4.101314667,-4.530669717,8.00957281,,,
4.196217,-4.530669717,8.051407633,,,
4.291119333,-4.530669717,8.093242457,,,
4.386021667,-4.530669717,8.13507728,,,
4.480924,-4.530669717,8.176912103,,,
4.575826333,-4.530669717,8.218746927,,,
4.670728667,-4.530669717,8.26058175,,,
4.765631,-4.530669717,8.302416574,,,
4.860533333,-4.530669717,8.344251397,,,
4.955435667,-4.530669717,8.386086221,,,
5.050338,-4.530669717,8.427921044,,,
5.145240333,-4.530669717,8.469755868,,,
5.240142667,-4.530669717,8.511590691,,,
5.335045,-4.530669717,8.553425515,,,
5.429947333,-4.530669717,8.595260338,,,
5.524849667,-4.530669717,8.637095162,,,
5.619752,-4.530669717,8.678929985,,,
5.714654333,-4.530669717,8.720764808,,,
5.809556667,-4.530669717,8.762599632,,,
5.904459,-4.530669717,8.804434455,,,
5.999361333,-4.530669717,8.846269279,,,
6.094263667,-4.530669717,8.888104102,,,
6.189166,-4.530669717,8.929938926,,,
6.284068333,-4.530669717,8.971773749,,,
6.378970667,-4.530669717,9.013608573,,,
6.473873,-4.530669717,9.055443396,,,
6.568775333,-4.530669717,9.09727822,,,
6.663677667,-4.530669717,9.139113043,,,
6.75858,-4.530669717,9.180947867,,,
6.853482333,-4.530669717,9.22278269,,,
6.948384667,-4.530669717,9.264617513,,,
7.043287,-4.530669717,9.306452337,,,
-2.352044,-4.447938576,5.138407028,,,
-2.257141667,-4.447938576,5.180508227,,,
-2.162239333,-4.447938576,5.222609425,,,
-2.067337,-4.447938576,5.264710623,,,
-1.972434667,-4.447938576,5.306811821,,,
-1.877532333,-4.447938576,5.348913019,,,
-1.78263,-4.447938576,5.391014217,,,
-1.687727667,-4.447938576,5.433115416,,,
-1.592825333,-4.447938576,5.475216614,,,
-1.497923,-4.447938576,5.517317812,,,
-1.403020667,-4.447938576,5.55941901,,,
-1.308118333,-4.447938576,5.601520208,,,
-1.213216,-4.447938576,5.643621406,,,
-1.118313667,-4.447938576,5.685722604,,,
-1.023411333,-4.447938576,5.727823803,,,
-0.928509,-4.447938576,5.769925001,,,
-0.833606667,-4.447938576,5.812026199,,,
-0.738704333,-4.447938576,5.854127397,,,
-0.643802,-4.447938576,5.896228595,,,
-0.548899667,-4.447938576,5.938329793,,,
-0.453997333,-4.447938576,5.980430992,,,
-0.359095,-4.447938576,6.02253219,,,
